year,result,school,program,full_or_part,scholarship,nationality,UGPA,graduate_gpa,GRE_Q,GRE_V,GRE_AWA,TOEFL,submitted,days_to_result,updated
2024,Enrolled,Columbia University,MA in Mathematics of Finance (MAFN),Full-Time,,🇨🇳,3.7,,170,161,4.5,,,80,Yesterday at 11:03 PM
2023,Enrolled,University of Waterloo,Master of Quantitative Finance,Full-Time,,🇺🇸,3.3,,,,,,,122,Yesterday at 8:58 PM
2024,Enrolled,University of Waterloo,Master of Quantitative Finance,Full-Time,,🇨🇦,3.0,4.0,,,,,,109,Yesterday at 4:10 PM
2026,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇺🇸,3.97,,170,158,5.0,,,,Yesterday at 10:15 AM
2025,Enrolled,Columbia University,MA in Mathematics of Finance (MAFN),Full-Time,,🇺🇸,3.9,,,,,,,13,Monday at 11:00 PM
2025,Enrolled,Queen Mary University of London,Mary University of London MSc in Financial Mathematics,Full-Time,"$5,000",🇮🇳,3.2,,130,130,3,,,74,Monday at 7:24 PM
2025,Enrolled,Carnegie Mellon University,MS in Computational Finance,Full-Time,"$15,000",🇺🇸,3.86,,169,156,4,,,61,Monday at 6:40 PM
2026,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$30,000",🇮🇳,4,4,170,152,4.5,,,29,Monday at 7:31 AM
2025,Rejected,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇮🇸,4,4,163,156,4,113,,107,Monday at 4:11 AM
2026,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$30,000",🇮🇹,3.56,,,,,,,38,Saturday at 10:51 PM
2025,Accepted,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.62,3.7,170,167,4,117,,63,Saturday at 6:58 PM
2025,Accepted,Cornell University,Master in Financial Engineering,Full-Time,,🇮🇳,3.62,3.7,170,167,4,117,,75,Saturday at 6:55 PM
2025,Accepted,Northeastern University,MS in Quantitative Finance,Full-Time,"$14,000",🇬🇷,3.8,,,,,,,48,Saturday at 3:22 PM
2025,Rejected,Columbia University,MA in Mathematics of Finance (MAFN),Full-Time,,🇺🇸,3.78,,,,,,,34,Saturday at 2:45 PM
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.78,,,,,,,84,Saturday at 2:44 PM
2026,Pending,NYU Tandon School of Engineering,MS in Financial Engineering,Full-Time,,🇲🇽,3.8,3.87,,,,99,,,Saturday at 12:15 PM
2025,Accepted,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.8,,168,146,,,,93,Saturday at 10:14 AM
2025,Rejected,Cornell University,Master in Financial Engineering,Full-Time,,🇮🇳,3.8,,168,146,,,,90,Saturday at 10:10 AM
2022,Accepted,"City St George’s, University of London, Bayes Business School",MSc in Quantitative Finance,Full-Time,,🇮🇹,4,,,,,,,153,Saturday at 10:04 AM
2026,Accepted,Fordham University,MS in Quantitative Finance,Full-Time,"$10,000",🇮🇳,3,3.2,,,,91,,18,Friday at 1:53 PM
2026,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇺🇸,3.9,,,,,,,64,10/15/25
2025,Enrolled,University of Chicago,MS in Financial Mathematics,Full-Time,,🇫🇷,3.6,3.9,163,157,4,,,77,10/15/25
2024,Enrolled,Northeastern University,MS in Quantitative Finance,Full-Time,,🇮🇳,3.76,,,,,,,32,10/15/25
2026,Pending,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇫🇷,3,,167,156,4,,,,10/15/25
2026,Pending,Baruch College,Master in Financial Engineering,Full-Time,,🇫🇷,3,,167,156,4,,,,10/15/25
2025,Accepted,Columbia University,Masters in Financial Engineering,Full-Time,,🇨🇳,3.96,3.96,169,158,5.5,,,45,10/14/25
